RECORDID,EXTERNALID
R24665708,843334
R24665709,843335
R24665710,843336
R24665711,843337
R24665712,843338
R24665713,843339
R24665714,843340
R24665715,843341
R24665716,843342
R24665717,843343
R24665718,843344
R24665719,843345
R24665720,843346
R24665721,843347
R24665722,843348
R24665723,843349
R24665724,843350
R24665725,843351
R24665726,843352
R24665727,843353
R24665728,843354
R24665729,843355
R24665730,843356
R24665731,843357
R24665732,843358
R24665733,843359
R24665734,843360
R24665735,843361
R24665736,843362
R24665737,843363
R24665738,843364
R24665739,843365
R24665740,843366
R24665741,843367
R24665742,843368
R24665743,843369
R24665744,843370
R24665745,843371
R24665746,843372
R24665747,843373
R24665748,843374
R24665749,843375
R24665750,843376
R24665751,843377
R24665752,843378
R24665753,843379
R24665754,843380
R24665755,843381
R24665756,843382
R24665757,843383
R24665758,843384
R24665759,843385
R24665760,843386
R24665761,843387
R24665762,843388
R24665763,843389
R24665764,843390
R24665765,843391
R24665766,843392
R24665767,843393
R24665768,843394
R24665769,843395
R24665770,843396
R24665771,843397
R24665772,843398
R24665773,843399
R24665774,843400
R24665775,843401
R24665776,843402
R24665777,843403
R24665778,843404
R24665779,843405
R24665780,843406
R24665781,843407
R24665782,843408
R24665783,843409
R24665784,843410
R24665785,843411
R24665786,843412
R24665787,843413
R24665788,843414
R24665789,843415
R24665790,843416
R24665791,843417
R24665792,843418
R24665793,843419
R24665794,843420
R24665795,843421
R24665796,843422
R24665797,843423
R24665798,843424
R24665799,843425
R24665800,843426
R24665801,843427
R24665802,843428
R24665803,843429
R24665804,843430
R24665805,843431
R24665806,843432
R24665807,843433
R24665808,843434
R24665809,843435
R24665810,843436
R24665811,843437
R24665812,843438
R24665813,843439
R24665814,843440
R24665815,843441
R24665816,843442
R24665817,843443
R24665818,843444
R24665819,843445
R24665820,843446
R24665821,843447
R24665822,843448
R24665823,843449
R24665824,843450
R24665825,843451
R24665826,843452
R24665827,843453
R24665828,843454
R24665829,843455
R24665830,843456
R24665831,843457
R24665832,843458
R24665833,843459
R24665834,843460
R24665835,843461
R24665836,843462
R24665837,843463
R24665838,843464
R24665839,843465
R24665840,843466
R24665841,843467
R24665842,843468
R24665843,843469
R24665844,843470
R24665845,843471
R24665846,843472
R24665847,843473
R24665848,843474
R24665849,843475
R24665850,843476
R24665851,843477
R24665852,843478
R24665853,843479
R24665854,843480
R24665855,843481
R24665856,843482
R24665857,843483
R24665858,843484
R24665859,843485
R24665860,843486
R24665861,843487
R24665862,843488
R24665863,843489
R24665864,843490
R24665865,843491
R24665866,843492
R24665867,843493
R24665868,843494
R24665869,843495
R24665870,843496
R24665871,843497
R24665872,843498
R24665873,843499
R24665874,843500
R24665875,843501
R24665876,843502
R24665877,843503
R24665878,843504
R24665879,843505
R24665880,843506
R24665881,843507
R24665882,843508
R24665883,843509
R24665884,843510
R24665885,843511
R24665886,843512
R24665887,843513
R24665888,843514
R24665889,843515
R24665890,843516
R24665891,843517
R24665892,843518
R24665893,843519
R24665894,843520
R24665895,843521
R24665896,843522
R24665897,843523
R24665898,843524
R24665899,843525
R24665900,843526
R24665901,843527
R24665902,843528
R24665903,843529
R24665904,843530
R24665905,843531
R24665906,843532
R24665907,843533
R24665908,843534
R24665909,843535
R24665910,843536
R24665911,843537
R24665912,843538
R24665913,843539
R24665914,843540
R24665915,843541
R24665916,843542
R24665917,843543
R24665918,843544
R24665919,843545
R24665920,843546
R24665921,843547
R24665922,843548
R24665923,843549
R24665924,843550
R24665925,843551
R24665926,843552
R24665927,843553
R24665928,843554
R24665929,843555
R24665930,843556
R24665931,843557
R24665932,843558
R24665933,843559
R24665934,843560
R24665935,843561
R24665936,843562
R24665937,843563
R24665938,843564
R24665939,843565
R24665940,843566
R24665941,843567
R24665942,843568
R24665943,843569
R24665944,843570
R24665945,843571
R24665946,843572
R24665947,843573
R24665948,843574
R24665949,843575
R24665950,843576
R24665951,843577
R24665952,843578
R24665953,843579
R24665954,843580
R24665955,843581
R24665956,843582
R24665957,843583
R24665958,843584
R24665959,843585
R24665960,843586
R24665961,843587
R24665962,843588
R24665963,843589
R24665964,843590
R24665965,843591
R24665966,843592
R24665967,843593
R24665968,843594
R24665969,843595
R24665970,843596
R24665971,843597
R24665972,843598
R24665973,843599
R24665974,843600
R24665975,843601
R24665976,843602
R24665977,843603
R24665978,843604
R24665979,843605
R24665980,843606
R24665981,843607
R24665982,843608
R24665983,843609
R24665984,843610
R24665985,843611
R24665986,843612
R24665987,843613
R24665988,843614
R24665989,843615
R24665990,843616
